SECCION;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;CONTAMINANTE;UNIDAD;CO2EQ1990;CO2EQ1991;CO2EQ1992;CO2EQ1993;CO2EQ1994;CO2EQ1995;CO2EQ1996;CO2EQ1997;CO2EQ1998;CO2EQ1999;CO2EQ2000;CO2EQ2001;CO2EQ2002;CO2EQ2003;CO2EQ2004;CO2EQ2005;CO2EQ2006;CO2EQ2007;CO2EQ2008;CO2EQ2009;CO2EQ2010;CO2EQ2011;CO2EQ2012;CO2EQ2013;CO2EQ2014;CO2EQ2015;CO2EQ2016;CO2EQ2017;CO2EQ2018;CO2EQ2019;CO2EQ2020;EM1990;EM1991;EM1992;EM1993;EM1994;EM1995;EM1996;EM1997;EM1998;EM1999;EM2000;EM2001;EM2002;EM2003;EM2004;EM2005;EM2006;EM2007;EM2008;EM2009;EM2010;EM2011;EM2012;EM2013;EM2014;EM2015;EM2016;EM2017;EM2018;EM2019;EM2020;;;;;;;;;;
INV;1;A;2;a;CO2;Gg;8.341,21;9.483,05;7.837,50;7.954,93;10.106,97;9.298,31;8.036,04;8.114,86;6.627,53;5.776,98;6.286,13;7.144,90;6.870,21;6.927,71;7.630,03;6.722,21;5.813,10;6.189,18;6.643,83;5.281,87;6.540,82;6.149,11;6.260,63;5.210,26;5.513,50;5.793,38;5.488,36;5.665,82;5.659,83;5.582,68;4.340,93;8.341,21;9.483,05;7.837,50;7.954,93;10.106,97;9.298,31;8.036,04;8.114,86;6.627,53;5.776,98;6.286,13;7.144,90;6.870,21;6.927,71;7.630,03;6.722,21;5.813,10;6.189,18;6.643,83;5.281,87;6.540,82;6.149,11;6.260,63;5.210,26;5.513,50;5.793,38;5.488,36;5.665,82;5.659,83;5.582,68;4.340,93;;;;;;;;;;
INV;1;A;2;a;N2O;Gg;8,97;12,12;8,00;7,45;14,22;16,75;12,49;8,78;6,52;5,93;6,76;9,43;8,72;9,32;13,13;9,85;8,09;8,75;9,38;7,41;9,08;8,56;10,84;6,34;7,28;7,66;6,80;7,71;7,69;7,14;4,82;0,03;0,04;0,03;0,02;0,05;0,06;0,04;0,03;0,02;0,02;0,02;0,03;0,03;0,03;0,04;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,04;0,02;0,02;0,03;0,02;0,03;0,03;0,02;0,02;;;;;;;;;;
INV;1;A;2;b;CH4;Gg;1,48;2,61;3,28;3,35;4,02;5,33;5,65;6,14;9,21;8,40;11,54;19,63;32,97;26,95;34,20;10,31;9,53;8,82;9,18;20,41;26,37;13,96;4,71;3,85;1,19;1,35;0,84;2,88;15,40;21,20;10,70;0,06;0,10;0,13;0,13;0,16;0,21;0,23;0,25;0,37;0,34;0,46;0,79;1,32;1,08;1,37;0,41;0,38;0,35;0,37;0,82;1,05;0,56;0,19;0,15;0,05;0,05;0,03;0,12;0,62;0,85;0,43;;;;;;;;;;
INV;1;A;2;b;CO2;Gg;1.191,81;1.598,37;1.606,89;1.203,86;1.410,39;1.490,30;1.637,33;2.726,66;2.699,00;2.616,84;3.181,65;3.604,51;3.785,85;3.809,67;3.969,09;3.546,62;3.098,97;3.003,36;2.730,45;2.932,33;3.108,90;2.539,83;2.090,64;1.475,23;1.235,29;1.093,47;1.083,05;1.135,31;1.378,05;1.630,80;1.346,12;1.191,81;1.598,37;1.606,89;1.203,86;1.410,39;1.490,30;1.637,33;2.726,66;2.699,00;2.616,84;3.181,65;3.604,51;3.785,85;3.809,67;3.969,09;3.546,62;3.098,97;3.003,36;2.730,45;2.932,33;3.108,90;2.539,83;2.090,64;1.475,23;1.235,29;1.093,47;1.083,05;1.135,31;1.378,05;1.630,80;1.346,12;;;;;;;;;;
INV;1;A;2;b;N2O;Gg;2,46;3,53;3,58;2,75;3,28;3,56;3,74;5,45;5,42;4,98;6,10;7,25;8,01;7,55;7,80;6,13;5,43;5,42;4,85;5,59;6,03;4,70;3,75;2,53;1,83;1,49;1,36;1,46;2,19;2,77;2,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,00;0,00;0,00;0,01;0,01;0,01;;;;;;;;;;
INV;1;A;2;c;CH4;Gg;11,70;15,91;24,10;25,65;27,45;50,93;54,98;64,67;77,40;102,74;145,65;130,81;156,85;193,53;238,70;279,43;277,84;236,36;236,79;142,45;157,74;209,60;243,27;315,76;277,79;229,95;206,61;278,43;337,87;334,64;310,06;0,47;0,64;0,96;1,03;1,10;2,04;2,20;2,59;3,10;4,11;5,83;5,23;6,27;7,74;9,55;11,18;11,11;9,45;9,47;5,70;6,31;8,38;9,73;12,63;11,11;9,20;8,26;11,14;13,51;13,39;12,40;;;;;;;;;;
INV;1;A;2;c;CO2;Gg;5.364,13;6.219,58;6.210,87;6.137,68;7.161,88;10.340,52;8.188,77;6.830,20;6.572,54;6.460,83;7.210,17;6.644,44;7.689,45;8.390,69;8.450,85;8.858,12;8.378,76;7.453,45;7.752,23;5.237,85;5.674,71;6.462,97;7.370,33;8.589,08;7.721,91;7.084,26;6.306,58;7.920,66;9.153,30;9.032,08;8.255,74;5.364,13;6.219,58;6.210,87;6.137,68;7.161,88;10.340,52;8.188,77;6.830,20;6.572,54;6.460,83;7.210,17;6.644,44;7.689,45;8.390,69;8.450,85;8.858,12;8.378,76;7.453,45;7.752,23;5.237,85;5.674,71;6.462,97;7.370,33;8.589,08;7.721,91;7.084,26;6.306,58;7.920,66;9.153,30;9.032,08;8.255,74;;;;;;;;;;
INV;1;A;2;c;N2O;Gg;15,52;16,54;17,50;17,29;19,46;30,00;26,40;20,51;19,92;20,92;24,00;21,40;23,33;25,63;25,43;25,90;25,17;22,93;23,07;15,59;16,78;19,90;22,33;26,11;23,64;21,23;19,33;23,97;27,77;27,34;25,36;0,05;0,06;0,06;0,06;0,07;0,10;0,09;0,07;0,07;0,07;0,08;0,07;0,08;0,09;0,09;0,09;0,08;0,08;0,08;0,05;0,06;0,07;0,07;0,09;0,08;0,07;0,06;0,08;0,09;0,09;0,09;;;;;;;;;;
INV;1;A;2;d;CH4;Gg;29,63;34,06;36,77;39,86;46,76;59,34;64,42;75,12;87,22;100,26;115,06;105,52;121,46;110,75;111,68;107,61;102,88;110,31;117,41;108,41;110,31;134,41;147,06;136,08;113,39;106,77;107,62;118,30;122,45;130,33;94,43;1,19;1,36;1,47;1,59;1,87;2,37;2,58;3,00;3,49;4,01;4,60;4,22;4,86;4,43;4,47;4,30;4,12;4,41;4,70;4,34;4,41;5,38;5,88;5,44;4,54;4,27;4,30;4,73;4,90;5,21;3,78;;;;;;;;;;
INV;1;A;2;d;CO2;Gg;2.602,02;2.737,41;2.657,68;2.654,13;3.255,74;3.915,12;3.726,92;3.712,41;4.024,76;4.366,61;4.790,55;4.469,09;5.366,51;5.432,73;5.436,11;5.254,46;5.113,35;5.184,69;5.482,97;5.030,18;4.491,57;5.028,81;5.155,31;4.751,66;3.881,37;3.761,38;3.935,85;4.178,06;4.223,13;4.668,62;3.799,37;2.602,02;2.737,41;2.657,68;2.654,13;3.255,74;3.915,12;3.726,92;3.712,41;4.024,76;4.366,61;4.790,55;4.469,09;5.366,51;5.432,73;5.436,11;5.254,46;5.113,35;5.184,69;5.482,97;5.030,18;4.491,57;5.028,81;5.155,31;4.751,66;3.881,37;3.761,38;3.935,85;4.178,06;4.223,13;4.668,62;3.799,37;;;;;;;;;;
