SECCION;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;CONTAMINANTE;UNIDAD;CO2EQ1990;CO2EQ1991;CO2EQ1992;CO2EQ1993;CO2EQ1994;CO2EQ1995;CO2EQ1996;CO2EQ1997;CO2EQ1998;CO2EQ1999;CO2EQ2000;CO2EQ2001;CO2EQ2002;CO2EQ2003;CO2EQ2004;CO2EQ2005;CO2EQ2006;CO2EQ2007;CO2EQ2008;CO2EQ2009;CO2EQ2010;CO2EQ2011;CO2EQ2012;CO2EQ2013;CO2EQ2014;CO2EQ2015;CO2EQ2016;CO2EQ2017;CO2EQ2018;CO2EQ2019;CO2EQ2020;EM1990;EM1991;EM1992;EM1993;EM1994;EM1995;EM1996;EM1997;EM1998;EM1999;EM2000;EM2001;EM2002;EM2003;EM2004;EM2005;EM2006;EM2007;EM2008;EM2009;EM2010;EM2011;EM2012;EM2013;EM2014;EM2015;EM2016;EM2017;EM2018;EM2019;EM2020;;;;;;;;;;
INV;1;A;3;a;CH4;Gg;0,64;0,71;0,78;0,77;0,81;0,89;0,97;1,03;1,10;1,20;1,29;1,31;1,26;1,33;1,47;1,56;1,61;1,69;1,52;1,35;1,32;1,28;1,05;0,88;0,88;0,92;0,99;1,05;1,14;1,16;0,55;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,07;0,06;0,05;0,05;0,05;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,02;;;;;;;;;;
INV;1;A;3;a;CO2;Gg;1.654,69;1.826,79;2.006,20;1.973,61;2.083,58;2.281,00;2.490,82;2.659,40;2.827,52;3.085,17;3.309,36;3.374,53;3.247,78;3.407,26;3.772,50;3.998,37;4.073,27;4.244,77;3.977,69;3.491,49;3.482,76;3.383,65;2.811,51;2.402,45;2.387,52;2.486,97;2.679,51;2.803,80;3.024,59;3.127,06;1.515,87;1.654,69;1.826,79;2.006,20;1.973,61;2.083,58;2.281,00;2.490,82;2.659,40;2.827,52;3.085,17;3.309,36;3.374,53;3.247,78;3.407,26;3.772,50;3.998,37;4.073,27;4.244,77;3.977,69;3.491,49;3.482,76;3.383,65;2.811,51;2.402,45;2.387,52;2.486,97;2.679,51;2.803,80;3.024,59;3.127,06;1.515,87;;;;;;;;;;
INV;1;A;3;a;N2O;Gg;13,41;14,80;16,25;15,99;16,87;18,47;20,18;21,54;22,90;24,99;26,81;27,33;26,31;27,60;30,56;32,38;32,99;34,38;32,22;28,28;28,21;27,40;22,77;19,46;19,34;20,14;21,70;22,71;24,50;25,33;12,28;0,04;0,05;0,05;0,05;0,06;0,06;0,07;0,07;0,08;0,08;0,09;0,09;0,09;0,09;0,10;0,11;0,11;0,12;0,11;0,09;0,09;0,09;0,08;0,07;0,06;0,07;0,07;0,08;0,08;0,08;0,04;;;;;;;;;;
INV;1;A;3;b;CH4;Gg;397,70;420,95;445,52;395,44;384,10;349,88;346,86;326,17;319,05;306,38;278,95;269,19;246,74;241,35;231,65;213,28;194,52;183,07;163,68;147,59;135,71;120,52;108,49;100,97;100,83;99,54;100,47;102,36;104,34;109,28;88,05;15,91;16,84;17,82;15,82;15,36;14,00;13,87;13,05;12,76;12,26;11,16;10,77;9,87;9,65;9,27;8,53;7,78;7,32;6,55;5,90;5,43;4,82;4,34;4,04;4,03;3,98;4,02;4,09;4,17;4,37;3,52;;;;;;;;;;
INV;1;A;3;b;CO2;Gg;50.429,46;53.332,69;56.971,24;56.480,67;59.549,45;60.411,68;64.326,47;65.012,51;71.355,48;75.091,06;77.123,96;80.949,57;82.819,75;86.648,70;89.859,55;92.419,16;95.286,34;98.172,93;92.988,21;86.980,73;83.796,42;79.461,73;72.825,42;75.127,67;75.983,36;78.688,32;80.743,00;82.062,04;82.832,96;83.747,66;69.116,15;50.429,46;53.332,69;56.971,24;56.480,67;59.549,45;60.411,68;64.326,47;65.012,51;71.355,48;75.091,06;77.123,96;80.949,57;82.819,75;86.648,70;89.859,55;92.419,16;95.286,34;98.172,93;92.988,21;86.980,73;83.796,42;79.461,73;72.825,42;75.127,67;75.983,36;78.688,32;80.743,00;82.062,04;82.832,96;83.747,66;69.116,15;;;;;;;;;;
INV;1;A;3;b;N2O;Gg;463,88;481,61;491,18;665,68;1.179,34;1.399,88;1.679,35;1.549,55;1.527,07;1.492,30;1.022,18;880,63;832,75;844,23;849,17;859,21;881,97;917,24;889,78;827,94;824,22;808,19;770,41;765,98;786,88;815,90;844,80;876,21;904,48;919,85;775,05;1,56;1,62;1,65;2,23;3,96;4,70;5,64;5,20;5,12;5,01;3,43;2,96;2,79;2,83;2,85;2,88;2,96;3,08;2,99;2,78;2,77;2,71;2,59;2,57;2,64;2,74;2,83;2,94;3,04;3,09;2,60;;;;;;;;;;
INV;1;A;3;c;CH4;Gg;0,59;0,58;0,58;0,50;0,46;0,46;0,45;0,46;0,46;0,45;0,43;0,44;0,43;0,44;0,43;0,43;0,43;0,42;0,41;0,38;0,38;0,39;0,36;0,34;0,35;0,34;0,33;0,34;0,35;0,34;0,24;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;
INV;1;A;3;c;CO2;Gg;421,72;414,11;410,98;354,07;330,03;328,73;319,72;325,29;327,51;324,38;308,34;317,54;307,73;312,67;308,49;310,66;308,51;303,06;292,39;273,19;269,59;277,42;258,30;243,28;247,51;244,18;233,55;243,73;251,62;245,37;170,06;421,72;414,11;410,98;354,07;330,03;328,73;319,72;325,29;327,51;324,38;308,34;317,54;307,73;312,67;308,49;310,66;308,51;303,06;292,39;273,19;269,59;277,42;258,30;243,28;247,51;244,18;233,55;243,73;251,62;245,37;170,06;;;;;;;;;;
INV;1;A;3;c;N2O;Gg;0,94;0,93;0,92;0,79;0,74;0,74;0,72;0,73;0,73;0,73;0,69;0,71;0,69;0,70;0,69;0,70;0,69;0,68;0,65;0,61;0,60;0,62;0,58;0,54;0,55;0,55;0,52;0,55;0,56;0,55;0,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
INV;1;A;3;d;CH4;Gg;12,19;12,86;13,23;13,58;14,31;13,77;14,71;11,81;12,31;11,65;10,14;10,10;10,15;11,36;11,74;11,28;12,28;10,65;9,63;8,01;7,68;5,97;6,24;3,71;2,36;3,13;4,42;7,01;7,23;7,57;5,68;0,49;0,51;0,53;0,54;0,57;0,55;0,59;0,47;0,49;0,47;0,41;0,40;0,41;0,45;0,47;0,45;0,49;0,43;0,39;0,32;0,31;0,24;0,25;0,15;0,09;0,13;0,18;0,28;0,29;0,30;0,23;;;;;;;;;;
INV;1;A;3;d;CO2;Gg;5.214,10;5.496,98;5.654,13;5.810,86;6.124,75;5.886,65;6.282,74;5.027,19;5.240,71;4.964,08;4.322,97;4.304,15;4.332,18;4.847,31;4.989,86;4.786,13;5.234,05;4.539,68;4.106,05;3.414,81;3.270,55;2.546,64;2.658,11;1.586,59;1.011,04;1.340,71;1.904,48;3.034,92;3.128,59;3.284,03;2.453,50;5.214,10;5.496,98;5.654,13;5.810,86;6.124,75;5.886,65;6.282,74;5.027,19;5.240,71;4.964,08;4.322,97;4.304,15;4.332,18;4.847,31;4.989,86;4.786,13;5.234,05;4.539,68;4.106,05;3.414,81;3.270,55;2.546,64;2.658,11;1.586,59;1.011,04;1.340,71;1.904,48;3.034,92;3.128,59;3.284,03;2.453,50;;;;;;;;;;
INV;1;A;3;d;N2O;Gg;41,51;43,78;45,05;46,25;48,73;46,91;50,10;40,22;41,91;39,68;34,53;34,39;34,58;38,68;39,97;38,40;41,81;36,26;32,80;27,27;26,17;20,33;21,26;12,62;8,04;10,66;15,07;23,86;24,62;25,79;19,35;0,14;0,15;0,15;0,16;0,16;0,16;0,17;0,13;0,14;0,13;0,12;0,12;0,12;0,13;0,13;0,13;0,14;0,12;0,11;0,09;0,09;0,07;0,07;0,04;0,03;0,04;0,05;0,08;0,08;0,09;0,06;;;;;;;;;;
INV;1;A;3;e;CH4;Gg;0,01;0,01;0,01;0,02;0,03;0,03;0,06;0,08;0,04;0,04;0,06;0,10;0,12;0,12;0,11;0,11;0,06;0,05;0,06;0,06;0,06;0,06;0,05;0,06;0,06;0,05;0,05;0,06;0,07;0,06;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
INV;1;A;3;e;CO2;Gg;19,13;23,72;19,45;30,55;54,21;56,63;125,41;149,70;73,01;80,12;132,86;225,82;265,76;267,96;227,94;239,24;127,43;104,96;123,10;122,89;144,12;134,05;122,44;144,76;135,54;108,21;117,00;132,39;141,22;131,02;98,53;19,13;23,72;19,45;30,55;54,21;56,63;125,41;149,70;73,01;80,12;132,86;225,82;265,76;267,96;227,94;239,24;127,43;104,96;123,10;122,89;144,12;134,05;122,44;144,76;135,54;108,21;117,00;132,39;141,22;131,02;98,53;;;;;;;;;;
INV;1;A;3;e;N2O;Gg;0,02;0,01;0,02;0,04;0,05;0,05;0,09;0,11;0,06;0,06;0,09;0,13;0,16;0,16;0,13;0,13;0,07;0,06;0,07;0,07;0,08;0,07;0,07;0,08;0,07;0,06;0,06;0,08;0,08;0,08;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
INV;1;A;4;a;CH4;Gg;11,65;13,80;15,02;13,23;15,71;19,07;19,39;22,82;25,41;32,85;48,22;53,21;62,51;64,29;77,92;86,77;115,25;120,37;172,93;197,09;241,01;254,44;295,03;143,71;106,85;117,46;124,95;137,40;143,84;143,12;141,53;0,47;0,55;0,60;0,53;0,63;0,76;0,78;0,91;1,02;1,31;1,93;2,13;2,50;2,57;3,12;3,47;4,61;4,81;6,92;7,88;9,64;10,18;11,80;5,75;4,27;4,70;5,00;5,50;5,75;5,72;5,66;;;;;;;;;;
INV;1;A;4;a;CO2;Gg;3.811,27;4.587,88;4.958,86;4.314,41;4.697,10;5.431,22;5.278,26;5.514,37;5.698,23;6.233,56;7.036,77;7.613,41;7.723,82;7.127,20;7.996,18;9.001,65;11.536,09;9.300,66;9.945,15;10.855,10;13.235,89;13.892,69;12.455,18;10.206,52;8.672,13;11.318,04;12.254,88;12.078,84;12.467,03;10.546,19;9.037,84;3.811,27;4.587,88;4.958,86;4.314,41;4.697,10;5.431,22;5.278,26;5.514,37;5.698,23;6.233,56;7.036,77;7.613,41;7.723,82;7.127,20;7.996,18;9.001,65;11.536,09;9.300,66;9.945,15;10.855,10;13.235,89;13.892,69;12.455,18;10.206,52;8.672,13;11.318,04;12.254,88;12.078,84;12.467,03;10.546,19;9.037,84;;;;;;;;;;
INV;1;A;4;a;N2O;Gg;6,64;7,94;8,67;7,43;7,87;8,64;8,80;9,06;8,89;9,86;14,04;14,96;15,06;15,58;17,44;18,34;18,83;16,80;17,21;19,82;17,84;18,57;17,52;17,14;14,94;15,01;17,23;19,16;19,53;17,51;16,54;0,02;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,05;0,05;0,06;0,06;0,07;0,06;0,06;;;;;;;;;;
INV;1;A;4;b;CH4;Gg;794,08;830,14;850,61;827,37;821,16;749,62;752,19;752,03;743,65;728,52;729,05;741,71;743,48;743,06;758,49;761,88;757,95;754,61;760,60;878,54;880,81;859,12;863,96;860,21;862,97;858,13;636,59;631,69;630,23;630,86;628,38;31,76;33,21;34,02;33,09;32,85;29,98;30,09;30,08;29,75;29,14;29,16;29,67;29,74;29,72;30,34;30,48;30,32;30,18;30,42;35,14;35,23;34,36;34,56;34,41;34,52;34,33;25,46;25,27;25,21;25,23;25,14;;;;;;;;;;
INV;1;A;4;b;CO2;Gg;12.801,79;14.215,77;14.350,50;14.202,83;14.819,60;13.953,12;15.129,41;15.007,81;15.425,86;16.291,77;17.140,69;17.446,95;18.024,03;19.666,62;20.787,97;20.844,38;20.505,17;20.415,36;19.696,99;19.202,59;20.564,71;17.003,21;16.639,69;15.904,04;15.472,10;16.183,62;16.455,57;14.550,60;14.676,16;14.157,49;15.363,68;12.801,79;14.215,77;14.350,50;14.202,83;14.819,60;13.953,12;15.129,41;15.007,81;15.425,86;16.291,77;17.140,69;17.446,95;18.024,03;19.666,62;20.787,97;20.844,38;20.505,17;20.415,36;19.696,99;19.202,59;20.564,71;17.003,21;16.639,69;15.904,04;15.472,10;16.183,62;16.455,57;14.550,60;14.676,16;14.157,49;15.363,68;;;;;;;;;;
INV;1;A;4;b;N2O;Gg;123,54;126,90;128,79;128,10;128,57;121,16;122,56;122,74;122,15;122,13;123,77;124,59;124,74;126,69;130,49;130,48;127,98;127,47;127,49;145,14;146,64;142,65;143,26;143,56;144,25;145,42;109,49;108,18;108,83;107,77;108,92;0,41;0,43;0,43;0,43;0,43;0,41;0,41;0,41;0,41;0,41;0,42;0,42;0,42;0,43;0,44;0,44;0,43;0,43;0,43;0,49;0,49;0,48;0,48;0,48;0,48;0,49;0,37;0,36;0,37;0,36;0,37;;;;;;;;;;
INV;1;A;4;c;CH4;Gg;22,52;20,75;20,55;20,62;20,52;19,64;19,10;18,83;18,97;19,45;22,07;21,44;21,27;23,90;24,11;23,54;24,25;23,66;23,20;30,82;31,44;34,09;35,19;35,59;37,45;34,87;33,91;33,02;33,92;33,63;33,19;0,90;0,83;0,82;0,82;0,82;0,79;0,76;0,75;0,76;0,78;0,88;0,86;0,85;0,96;0,96;0,94;0,97;0,95;0,93;1,23;1,26;1,36;1,41;1,42;1,50;1,39;1,36;1,32;1,36;1,35;1,33;;;;;;;;;;
INV;1;A;4;c;CO2;Gg;8.695,03;9.009,83;9.272,47;9.308,71;9.350,14;9.308,22;9.308,58;9.316,48;9.503,83;9.875,01;10.088,78;10.120,21;10.276,78;11.111,85;11.501,37;11.117,95;11.155,63;11.235,65;10.552,70;10.328,39;10.496,55;11.247,84;11.751,55;11.801,74;12.733,25;11.343,94;11.524,61;11.324,19;11.619,74;11.662,93;11.650,68;8.695,03;9.009,83;9.272,47;9.308,71;9.350,14;9.308,22;9.308,58;9.316,48;9.503,83;9.875,01;10.088,78;10.120,21;10.276,78;11.111,85;11.501,37;11.117,95;11.155,63;11.235,65;10.552,70;10.328,39;10.496,55;11.247,84;11.751,55;11.801,74;12.733,25;11.343,94;11.524,61;11.324,19;11.619,74;11.662,93;11.650,68;;;;;;;;;;
INV;1;A;4;c;N2O;Gg;80,59;82,51;84,52;85,73;86,71;87,73;89,00;90,22;92,21;94,32;97,19;100,11;102,00;102,40;104,73;106,06;107,59;109,19;105,74;110,61;112,11;113,03;114,69;115,38;123,89;123,24;124,96;124,31;126,65;126,24;127,75;0,27;0,28;0,28;0,29;0,29;0,29;0,30;0,30;0,31;0,32;0,33;0,34;0,34;0,34;0,35;0,36;0,36;0,37;0,35;0,37;0,38;0,38;0,38;0,39;0,42;0,41;0,42;0,42;0,42;0,42;0,43;;;;;;;;;;
INV;1;A;5;b;CH4;Gg;0,40;0,42;0,44;0,37;0,36;0,38;0,45;0,47;0,43;0,42;0,37;0,38;0,36;0,38;0,40;0,41;0,41;0,39;0,45;0,36;0,37;0,47;0,31;0,13;0,22;0,45;0,26;0,25;0,26;0,30;0,29;0,02;0,02;0,02;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;
INV;1;A;5;b;CO2;Gg;297,89;303,18;331,04;301,14;304,68;331,28;377,83;402,64;408,89;421,77;422,26;428,84;412,71;434,06;475,27;500,79;519,59;534,05;589,79;506,11;554,32;559,21;472,29;330,40;407,47;516,62;485,64;481,73;446,92;448,07;435,42;297,89;303,18;331,04;301,14;304,68;331,28;377,83;402,64;408,89;421,77;422,26;428,84;412,71;434,06;475,27;500,79;519,59;534,05;589,79;506,11;554,32;559,21;472,29;330,40;407,47;516,62;485,64;481,73;446,92;448,07;435,42;;;;;;;;;;
INV;1;A;5;b;N2O;Gg;2,42;2,46;2,67;2,45;2,55;2,79;3,19;3,38;3,43;3,52;3,48;3,51;3,38;3,56;3,90;4,11;4,28;4,41;4,88;4,22;4,63;4,67;3,98;2,82;3,50;4,26;4,14;4,10;3,86;3,86;3,76;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;
INV;1;B;1;a;CH4;Gg;1.620,34;1.292,75;1.443,44;1.326,22;1.224,80;1.124,46;1.147,95;1.132,16;901,36;858,32;834,97;815,04;757,11;727,47;660,70;603,16;576,31;531,12;476,11;406,74;349,74;284,18;225,94;213,91;157,13;105,36;83,53;82,26;75,40;15,84;15,31;64,81;51,71;57,74;53,05;48,99;44,98;45,92;45,29;36,05;34,33;33,40;32,60;30,28;29,10;26,43;24,13;23,05;21,24;19,04;16,27;13,99;11,37;9,04;8,56;6,29;4,21;3,34;3,29;3,02;0,63;0,61;;;;;;;;;;
INV;1;B;1;b;CH4;Gg;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,01;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
INV;1;B;1;b;CO2;Gg;17,63;17,46;16,21;16,77;16,43;13,38;13,25;14,53;14,44;12,80;15,27;14,54;14,42;72,03;72,80;89,91;124,94;93,55;43,35;14,01;37,13;43,86;23,48;3,50;29,49;28,65;6,65;9,73;10,32;19,04;23,33;17,63;17,46;16,21;16,77;16,43;13,38;13,25;14,53;14,44;12,80;15,27;14,54;14,42;72,03;72,80;89,91;124,94;93,55;43,35;14,01;37,13;43,86;23,48;3,50;29,49;28,65;6,65;9,73;10,32;19,04;23,33;;;;;;;;;;
INV;1;B;2;a;CH4;Gg;3,88;3,96;3,36;3,21;3,45;3,45;3,50;3,53;3,71;3,76;3,65;3,61;3,66;3,38;3,67;3,80;3,75;3,67;3,83;2,56;2,57;2,66;3,06;2,99;2,94;3,11;3,20;3,24;3,26;3,25;2,82;0,16;0,16;0,13;0,13;0,14;0,14;0,14;0,14;0,15;0,15;0,15;0,14;0,15;0,14;0,15;0,15;0,15;0,15;0,15;0,10;0,10;0,11;0,12;0,12;0,12;0,12;0,13;0,13;0,13;0,13;0,11;;;;;;;;;;
INV;1;B;2;a;CO2;Gg;1.476,61;1.438,46;1.541,17;1.569,69;1.839,54;1.608,97;1.546,10;1.590,06;1.696,80;1.765,04;1.902,54;1.785,46;1.823,24;1.640,38;1.931,19;1.992,81;2.046,57;1.953,33;1.882,64;1.913,96;1.960,76;2.341,69;2.984,73;3.333,08;3.459,78;3.433,81;3.519,59;3.567,55;3.472,10;3.283,25;3.189,85;1.476,61;1.438,46;1.541,17;1.569,69;1.839,54;1.608,97;1.546,10;1.590,06;1.696,80;1.765,04;1.902,54;1.785,46;1.823,24;1.640,38;1.931,19;1.992,81;2.046,57;1.953,33;1.882,64;1.913,96;1.960,76;2.341,69;2.984,73;3.333,08;3.459,78;3.433,81;3.519,59;3.567,55;3.472,10;3.283,25;3.189,85;;;;;;;;;;
INV;1;B;2;b;CH4;Gg;135,60;142,51;147,80;156,03;178,38;188,30;142,34;157,53;201,13;233,06;200,03;198,70;245,80;212,84;209,50;210,68;277,43;278,12;314,55;281,96;264,97;220,07;193,22;194,54;172,13;165,80;178,72;151,74;173,25;175,25;138,45;5,42;5,70;5,91;6,24;7,14;7,53;5,69;6,30;8,05;9,32;8,00;7,95;9,83;8,51;8,38;8,43;11,10;11,12;12,58;11,28;10,60;8,80;7,73;7,78;6,89;6,63;7,15;6,07;6,93;7,01;5,54;;;;;;;;;;
INV;1;B;2;b;CO2;Gg;0,09;0,09;0,09;0,05;0,02;0,02;0,02;0,03;0,03;0,05;0,11;0,12;0,15;0,12;0,12;0,09;0,14;0,08;0,25;0,16;0,14;0,14;0,20;0,21;0,21;0,17;0,18;0,12;0,15;0,12;0,08;0,09;0,09;0,09;0,05;0,02;0,02;0,02;0,03;0,03;0,05;0,11;0,12;0,15;0,12;0,12;0,09;0,14;0,08;0,25;0,16;0,14;0,14;0,20;0,21;0,21;0,17;0,18;0,12;0,15;0,12;0,08;;;;;;;;;;
INV;1;B;2;c;CH4;Gg;23,71;30,54;30,13;23,97;21,60;17,37;13,75;10,04;14,13;15,40;12,50;22,40;40,22;24,64;20,79;32,07;26,08;52,89;70,23;65,58;58,31;84,05;69,71;89,57;100,89;34,36;30,15;24,48;31,23;21,45;33,41;0,95;1,22;1,21;0,96;0,86;0,69;0,55;0,40;0,57;0,62;0,50;0,90;1,61;0,99;0,83;1,28;1,04;2,12;2,81;2,62;2,33;3,36;2,79;3,58;4,04;1,37;1,21;0,98;1,25;0,86;1,34;;;;;;;;;;
INV;1;B;2;c;CO2;Gg;274,67;297,75;297,43;251,88;233,45;240,97;234,97;210,46;230,81;215,81;214,64;237,83;230,81;187,86;229,51;213,85;244,54;518,37;377,88;328,36;281,78;353,36;370,77;497,72;575,12;244,04;237,22;245,69;311,41;342,47;345,03;274,67;297,75;297,43;251,88;233,45;240,97;234,97;210,46;230,81;215,81;214,64;237,83;230,81;187,86;229,51;213,85;244,54;518,37;377,88;328,36;281,78;353,36;370,77;497,72;575,12;244,04;237,22;245,69;311,41;342,47;345,03;;;;;;;;;;
INV;1;B;2;c;N2O;Gg;0,23;0,29;0,29;0,23;0,20;0,16;0,13;0,09;0,13;0,07;0,06;0,09;0,08;0,08;0,07;0,04;0,04;0,05;0,05;0,04;0,04;0,05;0,18;0,73;1,09;0,11;0,05;0,04;0,03;0,02;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
INV;2;A;1;;CO2;Gg;12.279,01;11.700,78;10.438,32;9.913,56;11.498,99;12.364,56;12.114,61;12.751,53;13.808,94;14.431,60;14.727,62;15.014,37;15.530,17;16.037,51;16.292,14;16.791,77;16.744,75;16.823,91;14.389,50;11.401,95;11.197,40;9.522,69;8.754,20;7.642,36;8.896,82;9.216,02;9.413,65;9.448,70;9.667,45;9.064,17;8.191,76;12.279,01;11.700,78;10.438,32;9.913,56;11.498,99;12.364,56;12.114,61;12.751,53;13.808,94;14.431,60;14.727,62;15.014,37;15.530,17;16.037,51;16.292,14;16.791,77;16.744,75;16.823,91;14.389,50;11.401,95;11.197,40;9.522,69;8.754,20;7.642,36;8.896,82;9.216,02;9.413,65;9.448,70;9.667,45;9.064,17;8.191,76;;;;;;;;;;
INV;2;A;2;;CO2;Gg;1.108,93;1.122,86;1.139,57;1.158,45;1.237,77;1.225,89;1.180,42;1.232,62;1.263,41;1.293,09;1.405,94;1.396,13;1.461,56;1.522,51;1.579,91;1.495,21;1.603,29;1.698,64;1.608,95;1.385,26;1.511,41;1.445,17;1.255,47;1.378,60;1.346,61;1.380,31;1.276,94;1.442,74;1.484,82;1.493,86;1.333,84;1.108,93;1.122,86;1.139,57;1.158,45;1.237,77;1.225,89;1.180,42;1.232,62;1.263,41;1.293,09;1.405,94;1.396,13;1.461,56;1.522,51;1.579,91;1.495,21;1.603,29;1.698,64;1.608,95;1.385,26;1.511,41;1.445,17;1.255,47;1.378,60;1.346,61;1.380,31;1.276,94;1.442,74;1.484,82;1.493,86;1.333,84;;;;;;;;;;
INV;2;A;3;;CO2;Gg;374,49;377,95;386,24;388,08;433,76;437,60;448,96;474,97;489,63;504,12;544,48;580,25;602,48;570,55;572,05;560,71;571,02;560,41;514,02;439,51;471,23;473,87;464,37;474,37;471,07;472,80;470,75;471,79;480,07;502,21;440,14;374,49;377,95;386,24;388,08;433,76;437,60;448,96;474,97;489,63;504,12;544,48;580,25;602,48;570,55;572,05;560,71;571,02;560,41;514,02;439,51;471,23;473,87;464,37;474,37;471,07;472,80;470,75;471,79;480,07;502,21;440,14;;;;;;;;;;
INV;2;A;4;a;CO2;Gg;1.088,14;1.007,58;912,96;888,91;996,77;1.087,89;1.154,38;1.267,60;1.416,70;1.548,21;1.613,73;1.679,06;1.721,87;1.783,13;1.901,97;1.977,50;2.188,69;1.848,10;1.246,97;610,66;526,99;497,66;410,68;377,98;367,65;380,85;404,75;426,26;437,25;441,40;396,84;1.088,14;1.007,58;912,96;888,91;996,77;1.087,89;1.154,38;1.267,60;1.416,70;1.548,21;1.613,73;1.679,06;1.721,87;1.783,13;1.901,97;1.977,50;2.188,69;1.848,10;1.246,97;610,66;526,99;497,66;410,68;377,98;367,65;380,85;404,75;426,26;437,25;441,40;396,84;;;;;;;;;;
INV;2;A;4;b;CO2;Gg;83,93;95,15;91,46;65,07;38,02;112,15;101,79;70,46;104,92;110,32;54,52;93,77;104,78;98,51;103,34;129,02;111,82;112,83;124,75;50,08;68,05;102,89;105,05;70,16;100,95;97,12;96,88;78,72;97,75;75,61;58,87;83,93;95,15;91,46;65,07;38,02;112,15;101,79;70,46;104,92;110,32;54,52;93,77;104,78;98,51;103,34;129,02;111,82;112,83;124,75;50,08;68,05;102,89;105,05;70,16;100,95;97,12;96,88;78,72;97,75;75,61;58,87;;;;;;;;;;
INV;2;A;4;c;CO2;Gg;185,49;162,07;156,92;166,52;219,84;256,05;235,69;220,32;201,92;245,05;237,94;255,28;258,53;248,73;268,41;273,30;278,10;283,37;285,75;270,89;333,08;327,81;296,11;250,71;268,76;286,05;283,73;248,69;285,61;313,54;330,38;185,49;162,07;156,92;166,52;219,84;256,05;235,69;220,32;201,92;245,05;237,94;255,28;258,53;248,73;268,41;273,30;278,10;283,37;285,75;270,89;333,08;327,81;296,11;250,71;268,76;286,05;283,73;248,69;285,61;313,54;330,38;;;;;;;;;;
INV;2;A;4;d;CO2;Gg;0,00;4,30;11,96;21,09;21,69;32,84;32,49;40,44;26,47;20,27;179,56;108,75;153,79;174,75;181,13;200,39;167,51;164,92;239,95;175,92;101,32;308,71;279,95;206,65;252,69;310,09;213,13;274,86;203,96;88,99;32,28;0,00;4,30;11,96;21,09;21,69;32,84;32,49;40,44;26,47;20,27;179,56;108,75;153,79;174,75;181,13;200,39;167,51;164,92;239,95;175,92;101,32;308,71;279,95;206,65;252,69;310,09;213,13;274,86;203,96;88,99;32,28;;;;;;;;;;
