ACTIVITY;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;IPCC_ACTIVITY;IPCC_SUBACTIVITY;DESCRIPTION
4C21(V)w;4;C;2;1;(V);w;Forest land converted to Grassland (Biomass burning-Wild)
4C22;4;C;2;2;;;Cropland converted to Grassland
4C22(III);4;C;2;2;(III);;Cropland converted to Grassland (Direct N2O mineralization)
4C22(IV);4;C;2;2;(IV);;Cropland converted to Grassland (Indirect N2O leaching)
4C22s;4;C;2;2;s;;Cropland converted to Grassland (Carbon stock change)
4C22(V);4;C;2;2;(V);;Cropland converted to Grassland (Biomass burning)
4C22(V)c;4;C;2;2;(V);c;Cropland converted to Grassland (Biomass burning-Controlled)
4C22(V)w;4;C;2;2;(V);w;Cropland converted to Grassland (Biomass burning-Wild)
4C23;4;C;2;3;;;Wetlands converted to Grassland
4C23(III);4;C;2;3;(III);;Wetlands converted to Grassland (Direct N2O mineralization)
4C23(IV);4;C;2;3;(IV);;Wetlands converted to Grassland (Indirect N2O leaching)
4C23s;4;C;2;3;s;;Wetlands converted to Grassland (Carbon stock change)
4C23(V);4;C;2;3;(V);;Wetlands converted to Grassland (Biomass burning)
4C23(V)c;4;C;2;3;(V);c;Wetlands converted to Grassland (Biomass burning-Controlled)
4C23(V)w;4;C;2;3;(V);w;Wetlands converted to Grassland (Biomass burning-Wild)
4C24;4;C;2;4;;;Settlements converted to Grassland
4C24(III);4;C;2;4;(III);;Settlements converted to Grassland (Direct N2O mineralization)
4C24(IV);4;C;2;4;(IV);;Settlements converted to Grassland (Indirect N2O leaching)
4C24s;4;C;2;4;s;;Settlements converted to Grassland (Carbon stock change)
4C24(V);4;C;2;4;(V);;Settlements converted to Grassland (Biomass burning)
4C24(V)c;4;C;2;4;(V);c;Settlements converted to Grassland (Biomass burning-Controlled)
4C24(V)w;4;C;2;4;(V);w;Settlements converted to Grassland (Biomass burning-Wild)
4C25;4;C;2;5;;;Other land converted to Grassland
4C25(III);4;C;2;5;(III);;Other land converted to Grassland (Direct N2O mineralization)
4C25(IV);4;C;2;5;(IV);;Other land converted to Grassland (Indirect N2O leaching)
4C25s;4;C;2;5;s;;Other land converted to Grassland (Carbon stock change)
4C25(V);4;C;2;5;(V);;Other land converted to Grassland (Biomass burning)
4C25(V)c;4;C;2;5;(V);c;Other land converted to Grassland (Biomass burning-Controlled)
4C25(V)w;4;C;2;5;(V);w;Other land converted to Grassland (Biomass burning-Wild)
4D;4;D;;;;;Wetlands
4D1;4;D;1;;;;Wetlands remaining Wetlands
4D11;4;D;1;1;;;Peat extraction remaining Peat extraction
4D11(II);4;D;1;1;(II);;Peat extraction remaining Peat extraction (Drainage organic soils)
4D11(III);4;D;1;1;(III);;Peat extraction remaining Peat extraction (Direct N2O mineralization)
4D11(IV);4;D;1;1;(IV);;Peat extraction remaining Peat extraction (Indirect N2O leaching)
4D11s;4;D;1;1;s;;Peat extraction remaining Peat extraction (Carbon stock change)
4D11(V);4;D;1;1;(V);;Peat extraction remaining Peat extraction (Biomass burning)
4D11(V)c;4;D;1;1;(V);c;Peat extraction remaining Peat extraction (Biomass burning-Controlled)
4D11(V)w;4;D;1;1;(V);w;Peat extraction remaining Peat extraction (Biomass burning-Wild)
4D12;4;D;1;2;;;Flooded land remaining Flooded land
4D12(III);4;D;1;2;(III);;Flooded land remaining Flooded land (Direct N2O mineralization)
4D12(IV);4;D;1;2;(IV);;Flooded land remaining Flooded land (Indirect N2O leaching)
4D12s;4;D;1;2;s;;Flooded land remaining Flooded land (Carbon stock change)
4D12(V);4;D;1;2;(V);;Flooded land remaining Flooded land (Biomass burning)
4D12(V)c;4;D;1;2;(V);c;Flooded land remaining Flooded land (Biomass burning-Controlled)
4D12(V)w;4;D;1;2;(V);w;Flooded land remaining Flooded land (Biomass burning-Wild)
4D13;4;D;1;3;;;Other wetlands remaining Other wetlands
4D13(III);4;D;1;3;(III);;Other wetlands remaining Other wetlands (Direct N2O mineralization)
4D13(IV);4;D;1;3;(IV);;Other wetlands remaining Other wetlands (Indirect N2O leaching)
4D13s;4;D;1;3;s;;Other wetlands remaining Other wetlands (Carbon stock change)
4D13(V);4;D;1;3;(V);;Other wetlands remaining Other wetlands (Biomass burning)
4D13(V)c;4;D;1;3;(V);c;Other wetlands remaining Other wetlands (Biomass burning-Controlled)
4D13(V)w;4;D;1;3;(V);w;Other wetlands remaining Other wetlands (Biomass burning-Wild)
4D2;4;D;2;;;;Land converted to Wetlands
4D20(III);4;D;2;0;(III);;Land converted to Wetlands (Direct N2O mineralization)
4D20(V)w;4;D;2;0;(V);w;Land converted to Wetland (Biomass burning-Wild)
4D21;4;D;2;1;;;Land converted to Peat extraction
4D22;4;D;2;2;;;Land converted to Flooded land
4D221;4;D;2;2;1;;Forest land converted to Flooded land
4D221s;4;D;2;2;1;s;Forest land converted to Flooded land (Carbon stock change)
4D222;4;D;2;2;2;;Cropland converted to Flooded land
4D222s;4;D;2;2;2;s;Cropland converted to Flooded land (Carbon stock change)
4D223;4;D;2;2;3;;Grassland converted to Flooded land
4D223s;4;D;2;2;3;s;Grassland converted to Flooded land (Carbon stock change)
4D224;4;D;2;2;4;;Settlements converted to Flooded land
4D224s;4;D;2;2;4;s;Settlements converted to Flooded land (Carbon stock change)
4D225;4;D;2;2;5;;Other land converted to Flooded land
4D225s;4;D;2;2;5;s;Other land converted to Flooded land (Carbon stock change)
4D23;4;D;2;3;;;Land converted to Other wetlands
4E;4;E;;;;;Settlements
4E1;4;E;1;;;;Settlements remaining Settlements
4E11;4;E;1;1;;;Settlements remaining Settlements (subclase auxiliar)
4E11(III);4;E;1;1;(III);;Settlements remaining Settlements (Direct N2O mineralization)
4E11(IV);4;E;1;1;(IV);;Settlements remaining Settlements (Indirect N2O leaching)
4E11s;4;E;1;1;s;;Settlements remaining Settlements (Carbon stock change)
4E11(V);4;E;1;1;(V);;Settlements remaining Settlements (Biomass burning)
4E11(V)c;4;E;1;1;(V);c;Settlements remaining Settlements (Biomass burning-Controlled)
4E11(V)w;4;E;1;1;(V);w;Settlements remaining Settlements (Biomass burning-Wild)
4E2;4;E;2;;;;Land converted to Settlements
4E20(III);4;E;2;0;(III);;Land converted to Settlements (Direct N2O mineralization)
4E20(V)w;4;E;2;0;(V);w;Land converted to Settlement (Biomass burning-Wild)
4E21;4;E;2;1;;;Forest land converted to Settlements
4E21(III);4;E;2;1;(III);;Forest land converted to Settlements (Direct N2O mineralization)
4E21(IV);4;E;2;1;(IV);;Forest land converted to Settlements (Indirect N2O leaching)
4E21s;4;E;2;1;s;;Forest land converted to Settlements (Carbon stock change)
4E21(V);4;E;2;1;(V);;Forest land converted to Settlements (Biomass burning)
4E21(V)c;4;E;2;1;(V);c;Forest land converted to Settlements (Biomass burning-Controlled)
4E21(V)w;4;E;2;1;(V);w;Forest land converted to Settlements (Biomass burning-Wild)
4E22;4;E;2;2;;;Cropland converted to Settlements
4E22(III);4;E;2;2;(III);;Cropland converted to Settlements (Direct N2O mineralization)
4E22(IV);4;E;2;2;(IV);;Cropland converted to Settlements (Indirect N2O leaching)
4E22s;4;E;2;2;s;;Cropland converted to Settlements (Carbon stock change)
4E22(V);4;E;2;2;(V);;Cropland converted to Settlements (Biomass burning)
4E22(V)c;4;E;2;2;(V);c;Cropland converted to Settlements (Biomass burning-Controlled)
4E22(V)w;4;E;2;2;(V);w;Cropland converted to Settlements (Biomass burning-Wild)
4E23;4;E;2;3;;;Grassland converted to Settlements
4E23(III);4;E;2;3;(III);;Grassland converted to Settlements (Direct N2O mineralization)
4E23(IV);4;E;2;3;(IV);;Grassland converted to Settlements (Indirect N2O leaching)
4E23s;4;E;2;3;s;;Grassland converted to Settlements (Carbon stock change)
4E23(V);4;E;2;3;(V);;Grassland converted to Settlements (Biomass burning)
4E23(V)c;4;E;2;3;(V);c;Grassland converted to Settlements (Biomass burning-Controlled)
4E23(V)w;4;E;2;3;(V);w;Grassland converted to Settlements (Biomass burning-Wild)
4E24;4;E;2;4;;;Wetlands converted to Settlements
4E24(III);4;E;2;4;(III);;Wetlands converted to Settlements (Direct N2O mineralization)
4E24(IV);4;E;2;4;(IV);;Wetlands converted to Settlements (Indirect N2O leaching)
4E24s;4;E;2;4;s;;Wetlands converted to Settlements (Carbon stock change)
4E24(V);4;E;2;4;(V);;Wetlands converted to Settlements (Biomass burning)
4E24(V)c;4;E;2;4;(V);c;Wetlands converted to Settlements (Biomass burning-Controlled)
4E24(V)w;4;E;2;4;(V);w;Wetlands converted to Settlements (Biomass burning-Wild)
4E25;4;E;2;5;;;Other land converted to Settlements
4E25(III);4;E;2;5;(III);;Other land converted to Settlements (Direct N2O mineralization)
4E25(IV);4;E;2;5;(IV);;Other land converted to Settlements (Indirect N2O leaching)
4E25s;4;E;2;5;s;;Other land converted to Settlements (Carbon stock change)
4E25(V);4;E;2;5;(V);;Other land converted to Settlements (Biomass burning)
4E25(V)c;4;E;2;5;(V);c;Other land converted to Settlements (Biomass burning-Controlled)
4E25(V)w;4;E;2;5;(V);w;Other land converted to Settlements (Biomass burning-Wild)
4F;4;F;;;;;Other land
4F1;4;F;1;;;;Other land remaining Other land
4F11;4;F;1;1;;;Other land remaining Other land (subclase auxiliar)
4F11(III);4;F;1;1;(III);;Other land remaining Other land (Direct N2O mineralization)
4F11(IV);4;F;1;1;(IV);;Other land remaining Other land (Indirect N2O leaching)
4F11s;4;F;1;1;s;;Other land remaining Other land (Carbon stock change)
4F11(V);4;F;1;1;(V);;Other land remaining Other land (Biomass burning)
4F11(V)c;4;F;1;1;(V);c;Other land remaining Other land (Biomass burning-Controlled)
4F11(V)w;4;F;1;1;(V);w;Other land remaining Other land (Biomass burning-Wild)
4F2;4;F;2;;;;Land converted to Other land
4F20(III);4;F;2;0;(III);;Land converted to Other land (Direct N2O mineralization)
4F20(V)w;4;F;2;0;(V);w;Land converted to Otherland (Biomass burning-Wild)
4F21;4;F;2;1;;;Forest land converted to Other land
4F21(III);4;F;2;1;(III);;Forest land converted to Other land (Direct N2O mineralization)
4F21(IV);4;F;2;1;(IV);;Forest land converted to Other land (Indirect N2O leaching)
4F21s;4;F;2;1;s;;Forest land converted to Other land (Carbon stock change)
4F21(V);4;F;2;1;(V);;Forest land converted to Other land (Biomass burning)
4F21(V)c;4;F;2;1;(V);c;Forest land converted to Other land (Biomass burning-Controlled)
4F21(V)w;4;F;2;1;(V);w;Forest land converted to Other land (Biomass burning-Wild)
4F22;4;F;2;2;;;Cropland converted to Other land
4F22(III);4;F;2;2;(III);;Cropland converted to Other land (Direct N2O mineralization)
4F22(IV);4;F;2;2;(IV);;Cropland converted to Other land (Indirect N2O leaching)
4F22s;4;F;2;2;s;;Cropland converted to Other land (Carbon stock change)
4F22(V);4;F;2;2;(V);;Cropland converted to Other land (Biomass burning)
4F22(V)c;4;F;2;2;(V);c;Cropland converted to Other land (Biomass burning-Controlled)
4F22(V)w;4;F;2;2;(V);w;Cropland converted to Other land (Biomass burning-Wild)
4F23;4;F;2;3;;;Grassland converted to Other land
4F23(III);4;F;2;3;(III);;Grassland converted to Other land (Direct N2O mineralization)
4F23(IV);4;F;2;3;(IV);;Grassland converted to Other land (Indirect N2O leaching)
4F23s;4;F;2;3;s;;Grassland converted to Other land (Carbon stock change)
4F23(V);4;F;2;3;(V);;Grassland converted to Other land (Biomass burning)
4F23(V)c;4;F;2;3;(V);c;Grassland converted to Other land (Biomass burning-Controlled)
4F23(V)w;4;F;2;3;(V);w;Grassland converted to Other land (Biomass burning-Wild)
4F24;4;F;2;4;;;Wetlands converted to Other land
4F24(III);4;F;2;4;(III);;Wetlands converted to Other land (Direct N2O mineralization)
4F24(IV);4;F;2;4;(IV);;Wetlands converted to Other land (Indirect N2O leaching)
4F24s;4;F;2;4;s;;Wetlands converted to Other land (Carbon stock change)
4F24(V);4;F;2;4;(V);;Wetlands converted to Other land (Biomass burning)
4F24(V)c;4;F;2;4;(V);c;Wetlands converted to Other land (Biomass burning-Controlled)
4F24(V)w;4;F;2;4;(V);w;Wetlands converted to Other land (Biomass burning-Wild)
4F25;4;F;2;5;;;Settlements converted to Other land
4F25(III);4;F;2;5;(III);;Settlements converted to Other land (Direct N2O mineralization)
4F25(IV);4;F;2;5;(IV);;Settlements converted to Other land (Indirect N2O leaching)
4F25s;4;F;2;5;s;;Settlements converted to Other land (Carbon stock change)
4F25(V);4;F;2;5;(V);;Settlements converted to Other land (Biomass burning)
4F25(V)c;4;F;2;5;(V);c;Settlements converted to Other land (Biomass burning-Controlled)
4F25(V)w;4;F;2;5;(V);w;Settlements converted to Other land (Biomass burning-Wild)
4G;4;G;;;;;Harvested Wood Products
4G1;4;G;1;;;;Solid wood (Sawnwood and Wood panels)
4G11;4;G;1;1;;;Harvested Wood Products
4G11s;4;G;1;1;s;;Harvested Wood Products. CSC
4G11sDp;4;G;1;1;s;Dp;HWP CSC. Domestic Paper and paperboard
4G11sDs;4;G;1;1;s;Ds;HWP CSC. Domestic Sawnwood
4G11sDw;4;G;1;1;s;Dw;HWP CSC. Domestic Wood panels
4G11sEp;4;G;1;1;s;Ep;HWP CSC. Exported Paper and paperboard
4G11sEs;4;G;1;1;s;Es;HWP CSC. Exported Sawnwood
4G11sEw;4;G;1;1;s;Ew;HWP CSC. Exported Wood panels
4G11sIp;4;G;1;1;s;Ip;HWP CSC. Imported Paper and paperboard
4G11sIs;4;G;1;1;s;Is;HWP CSC. Imported Sawnwood
4G11sIw;4;G;1;1;s;Iw;HWP CSC. Imported Wood panels
4G11sPp;4;G;1;1;s;Pp;HWP CSC. Production Paper and paperboard
4G11sPs;4;G;1;1;s;Ps;HWP CSC. Production Sawnwood
4G11sPw;4;G;1;1;s;Pw;HWP CSC. Production Wood panels
4G11s0p;4;G;1;1;s;0p;HWP CSC. Paper and paperboard
4G11s0s;4;G;1;1;s;0s;HWP CSC. Sawnwood
4G11s0w;4;G;1;1;s;0w;HWP CSC. Wood panels
4G2;4;G;2;;;;Paper and paperboard
40;4;0;;;;;LULUCF. General
400;4;0;0;;;;LULUCF. General
4000;4;0;0;0;;;LULUCF. General
4000(IV);4;0;0;0;(IV);;LULUCF. Emisiones indirectas
5;5;;;;;;Waste
5A;5;A;;;;;Indirect N2O Emissions from the Atmospheric Deposition of Nitrogen in NOx and NH3
5A1;5;A;1;;;;Managed Waste Disposal Sites
5A1a;5;A;1;a;;;Managed waste disposal sites - Anaerobic
5A2;5;A;2;;;;Unmanaged waste disposal sites
5A3;5;A;3;;;;Uncategorized waste disposal sites
5B;5;B;;;;;Other (please specify)
5B1;5;B;1;;;;Composting
5B1a;5;B;1;a;;;Composting - Annual waste
5B2;5;B;2;;;;Anaerobic Digestion at Biogas Facilities
5B2a;5;B;2;a;;;Municipal Solid Waste
5C;5;C;;;;;Incineration and Open Burning of Waste
5C1;5;C;1;;;;Waste incineration
5C11;5;C;1;1;;;Waste incineration Ð Biogenic
5C11a;5;C;1;1;a;;Waste incineration Ð Biogenic Ð Annual waste
5C11b;5;C;1;1;b;;Waste incineration Ð Biogenic Ð Other (please specify)
5C11biii;5;C;1;1;b;iii;Sewage Sludge
5C12;5;C;1;2;;;Waste incineration Ð Non?Biogenic
5C12a;5;C;1;2;a;;Waste incineration - Non-Biogenic - Annual waste
5C12b;5;C;1;2;b;;Waste incineration - Non-Biogenic - Other (please specify)
5C12bi;5;C;1;2;b;i;Industrial Solid Wastes
5C12biii;5;C;1;2;b;iii;Clinical Waste
5C12biv;5;C;1;2;b;iv;Sewage Sludge
5C12b1;5;C;1;2;b;1;Incineration of corpses
5C2;5;C;2;;;;Open burning of waste
5C21;5;C;2;1;;;Open burning of waste Ð Biogenic
5C21a;5;C;2;1;a;;Open burning of waste Ð Biogenic Ð Annual waste
5C21b;5;C;2;1;b;;Open burning of waste Ð Biogenic Ð Other (please specify)
5C22;5;C;2;2;;;Open burning of waste Ð Non?biogenic
5C22a;5;C;2;2;a;;Open burning of waste - Non-biogenic - Annual waste
5C22b;5;C;2;2;b;;Open burning of waste - Non-biogenic - Other (please specify)
5D;5;D;;;;;Wastewater Treatment and Discharge
5D1;5;D;1;;;;Domestic wastewater
5D2;5;D;2;;;;Industrial wastewater
5D3;5;D;3;;;;Other (please specify)
5E;5;E;;;;;Other (please specify)
5E1;5;E;1;;;;Other. Sludge spreading
5E2;5;E;2;;;;Other. Accidental combustion
6;6;;;;;;OTHERS
7;7;;;;;;LAND USE, LAND USE CHANGE AND FORESTRY. KP
7A;7;A;;;;;Article 3.3 activities
7A1;7;A;1;;;;Afforestation and reforestation
7A1xAr;7;A;1;x;Ar;;Afforestation and reforestation (CRF Table NIR 2-Afforestation and reforestation remaining)
7A11;7;A;1;1;;;Afforestation and reforestation (Carbon stock change)
7A121;7;A;1;2;1;;Afforestation and reforestation (N2O from N fertilization)
7A122;7;A;1;2;2;;Afforestation and reforestation (CH4 and N2O from drained/rewetted organic soils)
7A122d;7;A;1;2;2;d;Afforestation and reforestation (CH4 and N2O from drained/rewetted organic soils-Drained)
7A122r;7;A;1;2;2;r;Afforestation and reforestation (CH4 and N2O from drained/rewetted organic soils-Rewetted)
7A123;7;A;1;2;3;;Afforestation and reforestation (N2O from N mineralization/immobilization)
7A124;7;A;1;2;4;;Afforestation and reforestation (Biomass burning)
7A124c;7;A;1;2;4;c;Afforestation and reforestation (Biomass burning-Controlled)
7A124w;7;A;1;2;4;w;Afforestation and reforestation (Biomass burning-Wild)
7A2;7;A;2;;;;Deforestation
7A2xDr;7;A;2;x;Dr;;Deforestation (CRF Table NIR 2-Deforestation remaining)
7A21;7;A;2;1;;;Deforestation (Carbon stock change)
7A21(4A2);7;A;2;1;(4A2);;Deforestation (Carbon stock change-FL)
7A21(4B21);7;A;2;1;(4B21);;Deforestation (Carbon stock change-CL)
7A21(4C21);7;A;2;1;(4C21);;Deforestation (Carbon stock change-GL)
7A21(4D21);7;A;2;1;(4D21);;Deforestation (Carbon stock change-WL)
7A21(4E21);7;A;2;1;(4E21);;Deforestation (Carbon stock change-SL)
7A21(4F21);7;A;2;1;(4F21);;Deforestation (Carbon stock change-OL)
7A221;7;A;2;2;1;;Deforestation (N2O from N fertilization)
7A222;7;A;2;2;2;;Deforestation (CH4 and N2O from drained/rewetted organic soils)
7A222d;7;A;2;2;2;d;Deforestation (CH4 and N2O from drained/rewetted organic soils-Drained)
7A222r;7;A;2;2;2;r;Deforestation (CH4 and N2O from drained/rewetted organic soils-Rewetted)
7A223;7;A;2;2;3;;Deforestation (N2O from N mineralization/immobilization)
7A224;7;A;2;2;4;;Deforestation (Biomass burning)
7A224c;7;A;2;2;4;c;Deforestation (Biomass burning-Controlled)
7A224w;7;A;2;2;4;w;Deforestation (Biomass burning-Wild)
7B;7;B;;;;;Article 3.4 activities
7B1;7;B;1;;;;Forest management
7B1xFMcD;7;B;1;x;FMcD;;Forest management (CRF Table NIR 2-Forest management changed to Deforestation)
7B1xFMr;7;B;1;x;FMr;;Forest management (CRF Table NIR 2-Forest management remaining)
7B11;7;B;1;1;;;Forest management (Carbon stock change)
7B121;7;B;1;2;1;;Forest management (N2O from N fertilization)
7B122;7;B;1;2;2;;Forest management (CH4 and N2O from drained/rewetted organic soils)
7B122d;7;B;1;2;2;d;Forest management (CH4 and N2O from drained/rewetted organic soils-Drained)
7B122r;7;B;1;2;2;r;Forest management (CH4 and N2O from drained/rewetted organic soils-Rewetted)
7B123;7;B;1;2;3;;Forest management (N2O from N mineralization/immobilization)
7B124;7;B;1;2;4;;Forest management (Biomass burning)
7B124c;7;B;1;2;4;c;Forest management (Biomass burning-Controlled)
7B124w;7;B;1;2;4;w;Forest management (Biomass burning-Wild)
7B2;7;B;2;;;;Cropland management
7B2xCMcA;7;B;2;x;CMcA;;Cropland management (CRF Table NIR 2-Cropland management changed to Afforestation and reforestation)
7B2xCMr;7;B;2;x;CMr;;Cropland management (CRF Table NIR 2-Cropland management remaining)
7B21;7;B;2;1;;;Cropland management (Carbon stock change)
7B222;7;B;2;2;2;;Cropland management (CH4 and N2O from drained/rewetted organic soils)
7B222d;7;B;2;2;2;d;Cropland management (CH4 and N2O from drained/rewetted organic soils-Drained)
7B222r;7;B;2;2;2;r;Cropland management (CH4 and N2O from drained/rewetted organic soils-Rewetted)
7B223;7;B;2;2;3;;Cropland management (N2O from N mineralization/immobilization)
7B224;7;B;2;2;4;;Cropland management (Biomass burning)
7B224c;7;B;2;2;4;c;Cropland management (Biomass burning-Controlled)
7B224w;7;B;2;2;4;w;Cropland management (Biomass burning-Wild)
7C;7;C;;;;;Harvested wood products (Carbon stock change)
7C01(A1);7;C;0;1;(A1);;Harvested wood products (Carbon stock change-Afforestation and reforestation)
7C01(A2);7;C;0;1;(A2);;Harvested wood products (Carbon stock change-Deforestation)
7C01(B1);7;C;0;1;(B1);;Harvested wood products (Carbon stock change-Forest management)
7O;7;O;;;;;Other (CRF Table NIR 2-Other)
7O0;7;O;0;;;;Other (CRF Table NIR 2-Other)
7O0x;7;O;0;x;;;Other (CRF Table NIR 2-Other)
7O0xOcA;7;O;0;x;OcA;;Other (CRF Table NIR 2-Other changed to Afforestation and reforestation)
7O0xOcCM;7;O;0;x;OcCM;;Other (CRF Table NIR 2-Other changed to Cropland management)
7O0xOr;7;O;0;x;Or;;Other (CRF Table NIR 2-Other remaining)
